ticker,published_utc,title,publisher,url
SQ,2025-01-22T13:06:03+00:00,"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm Encourages Block, Inc. (SQ, XYZ) Investors To Inquire About Securities Fraud Class Action",Finnhub,https://finnhub.io/api/news?id=f7db13372670b01fb35926f9bf86fb449dd10a3ccf7493eb7f11cbefebe5f2fa
SQ,2025-01-22T11:02:04+00:00,"Rosen Law Firm Urges Block, Inc. (NYSE: SQ, XYZ) Stockholders With Losses in Excess of $100K to Contact the Firm for Information About Their Rights",Finnhub,https://finnhub.io/api/news?id=f09cfb68aed947c3a1b08e21cc157da3a2130e7d1e391c6a7b0fc4cde1675f74
SQ,2025-01-22T00:00:00+00:00,"Block, Inc. will Change its Ticker to XYZ from SQ",Finnhub,https://finnhub.io/api/news?id=e4b7740a88f27ae855565b9f7a64864b554caa82945925babbf3554e0207e5e8
SQ,2025-01-21T18:15:04+00:00,"Law Offices of Howard G. Smith Encourages Block, Inc. (SQ, XYZ) Investors to Inquire About Securities Fraud Class Action",Finnhub,https://finnhub.io/api/news?id=b0d0f8d42e2cc9864961193ac8be8ac4c503303b566b0cbd25cd7d20056b1a6c
SQ,2025-01-21T06:00:03+00:00,"SQ Robbins Geller Rudman & Dowd LLP Files Class Action Lawsuit Against Block, Inc. and Announces Opportunity for Investors with Substantial Losses to Lead Class Action Lawsuit",Finnhub,https://finnhub.io/api/news?id=3a30f699dd367d8235aa3fa690954259c8bc761fca9c227addea0f92f798bc60
SQ,2025-01-20T20:54:03+00:00,"SQ Investors Have Opportunity to Lead Block, Inc. Securities Fraud Lawsuit with the Schall Law Firm",Finnhub,https://finnhub.io/api/news?id=fcf0780f2a752cd4b73b1a3c18ad5380c4fd90065be3329d9641c27a97d458d3
SQ,2025-01-19T23:41:10+00:00,"Shareholder Alert: Robbins LLP Informs Stockholders of the Block, Inc. Class Action",Finnhub,https://finnhub.io/api/news?id=4757c0610a1aadd9ffec50eeb66a8bee9679706447f935aa5928693cc5c0c709
SQ,2025-01-19T19:48:03+00:00,"BLOCK SHAREHOLDER ALERT by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Reminds Investors With Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Block, Inc. - SQ",Finnhub,https://finnhub.io/api/news?id=283f8e04840a543df834e1b1364cc7eab1ffe654ad75c739b649857d7c2d6599
SQ,2025-01-16T17:54:42+00:00,"PAX Global May Look Cheap, But There's Little Momentum In The Business",SeekingAlpha,https://finnhub.io/api/news?id=75c241f89a28a73e9a0dcb36d9182c4321d92afbb8b2fbed7e6b754ffc641260
SQ,2025-01-16T10:03:24+00:00,US consumer finance watchdog orders payments firm Block to pay $175 million,Finnhub,https://finnhub.io/api/news?id=643a6539466b794aac97d7020bf604bddb9058d105f7bb693301580cc0f58b1d
SQ,2025-01-15T16:35:50+00:00,State regulators fine Block Inc $80 million for anti-money laundering violations,Finnhub,https://finnhub.io/api/news?id=5b1737fb2f18e96529e3cc849d59231fbc0f6174cd69d9447c6cf57d774ec51c
SQ,2025-01-15T13:05:00+00:00,ValuEngine's Top 10 Stocks For 2025,SeekingAlpha,https://finnhub.io/api/news?id=45ece6a680c657db7ee2f8153ac954a24d490b42507f34a267402674839826cc
SQ,2025-01-15T07:20:00+00:00,ClearBridge Value Fund Q4 2024 Commentary,SeekingAlpha,https://finnhub.io/api/news?id=16104d7a68c2939ee98b902963633ee224985f62212a98b4fd4a0b33be489f73
SQ,2025-01-13T13:20:37+00:00,ACI Worldwide: The Future Has Never Looked So Bright,SeekingAlpha,https://finnhub.io/api/news?id=8ede1ac022d8fec9d9b59d17829910930fc2a6209ba364c50955396a0682ed2e
SQ,2025-01-10T14:00:00+00:00,Block's Reversal Is Already Here - FY2025 Guidance Implies Growth Acceleration,SeekingAlpha,https://finnhub.io/api/news?id=177e611ccd600f11f7c04808ff1c72f958d8b375c8fdfc682da7ce943073a1ec
SQ,2025-01-10T06:51:04+00:00,Wall Street Breakfast Podcast: Wildfire Costs Blaze Toward Historic Highs,SeekingAlpha,https://finnhub.io/api/news?id=c68e512b7efdaa7104e151511e1a331864a95f01176cb9eafb931790fa5af721
SQ,2025-01-10T03:40:00+00:00,ClearBridge Value Strategy Q4 2024 Commentary,SeekingAlpha,https://finnhub.io/api/news?id=28be69b36fc0c151aff327a88dba9fad15afd2a82fc1454078a8cb7d6070a482
SQ,2025-01-09T21:05:00+00:00,Block Announces Ticker Symbol Change to XYZ; To Report Fourth Quarter Results,Yahoo,https://finnhub.io/api/news?id=9c9cd20f5a78b6d104b0e119dcf8cf094aa59dfe9fc3e66c06a7314222911786
SQ,2025-01-09T13:09:06+00:00,"Block: Profitability Tailwinds, But The Stock Is Running Ahead Of Itself",SeekingAlpha,https://finnhub.io/api/news?id=f500ddf9377817b03044fc75baa981bcecaa87891ee1b64fd02bb67a3a11b53d
SQ,2025-01-08T08:15:45+00:00,Block: Top Pick For 2025,SeekingAlpha,https://finnhub.io/api/news?id=25980fc843f08a55c3973288536cd62275f859183332d1f6e64dc0fd0da92c26
SQ,2025-01-06T18:29:02+00:00,"Dow Jones Payments Leader American Express, Block In Or Near Buy Zones",Yahoo,https://finnhub.io/api/news?id=e7fed895c6ec5c7317abdc91b5992f6b2c0ebde8a0225c11367c129bbceecb21
SQ,2025-01-06T11:09:59+00:00,3 US Growth Stocks With High Insider Ownership Expecting Up To 57% Earnings Growth,Yahoo,https://finnhub.io/api/news?id=ee1ede43b31f5c0779c124b5fd694c1b4bb1943cf3ed22fd715427c75977b08a
SQ,2025-01-03T16:11:04+00:00,Block Inc Receives an Upgrade from Raymond James,Yahoo,https://finnhub.io/api/news?id=3528ee513d1b178ad8a7077242f655946ee5f88272a179f6fcfdad761957c54c
SQ,2025-01-03T16:01:47+00:00,"ServiceNow, Chewy, Block: 3 stocks in focus",Yahoo,https://finnhub.io/api/news?id=611ad9fc63db87ce4d9501243d7963ffe77cfc1f26e21fb614a1268201da7828
SQ,2025-01-03T15:52:06+00:00,Block (SQ) Stock Climbs on Bank’s Upgrade,Yahoo,https://finnhub.io/api/news?id=08f7580a8d8a484bcff788e51744eee7c8d53b73363053ffa96d6bd3da14398c
SQ,2025-01-03T13:35:08+00:00,Block Upgraded On Merchant Business Outlook. Is Square Stock A Buy?,Yahoo,https://finnhub.io/api/news?id=b75ea5339bce2d0a4175a7230a9106472b3656452c82adfe6f7887cf1196268a
SQ,2025-01-03T12:03:41+00:00,Raymond James Upgrades Block (SQ),Fintel,https://finnhub.io/api/news?id=0837f6132ffacb52bb594fbb84fd555d3088c382d3f1374b01046e5ad55256c7
SQ,2025-01-02T00:25:25+00:00,Bank of America Lines up 2 Top Picks for 2025,Yahoo,https://finnhub.io/api/news?id=29ca0a6fd66713e4e0ae2a307f51681ef115d8b74e55efee07bbe69e950d1770
SQ,2024-12-31T11:30:00+00:00,PayPal: Just Don't Bet On A Similar Rally In 2025 (Rating Downgrade),SeekingAlpha,https://finnhub.io/api/news?id=0d2f720fa40b157f6636be7b083d8f9bba9e78cf85e55f1b254d3ec93cc276e6
SQ,2024-12-30T12:35:08+00:00,Block Merchant Business Rebound Eyed In 2025. Is Square Stock A Buy?,Yahoo,https://finnhub.io/api/news?id=14d571e8a8c4e499de604a32b704f4d17cf56d6b10eb07fa8478d9447f28b8b9
SQ,2024-12-26T22:06:36+00:00,Tracking Lone Pine Capital Portfolio - Q3 2024 Update,SeekingAlpha,https://finnhub.io/api/news?id=85adcc620328bc332c09dd459f707a976188540f4fcb955ff16a6c4aaa45420c
SQ,2024-12-26T11:53:00+00:00,3 Growth Stocks to Buy and Hold Forever,Yahoo,https://finnhub.io/api/news?id=a6d2e80c0d924a11a282dda1b79e5cb8bf3981306ed6b864ecc48004314b753a
SQ,2024-12-26T05:00:00+00:00,Top Stocks For Tech-Driven Consumer Trends,SeekingAlpha,https://finnhub.io/api/news?id=de15a7f6210a4c036f3a3d3ff0003e8f0682522514a8d9201340125b02a55687
SQ,2024-12-20T17:32:48+00:00,"Nayax: A Fast Growing, But Little Known, Payments Provider",SeekingAlpha,https://finnhub.io/api/news?id=84140a2d80eeb89f6a6f8c2365801b0a3d992405945ca51d53cca358dae48ced
SQ,2024-12-20T12:43:08+00:00,Shift4 Payments Is A Growth Beast And A Reasonable Buy,SeekingAlpha,https://finnhub.io/api/news?id=f876aac0725b3f2903f2ca9cc54ca762427f90bd828827f378a7d7312e2ac4b2
SQ,2024-12-19T17:36:25+00:00,Block Positioned For Margin Expansion And EPS Growth: Goldman Sachs Analyst,Yahoo,https://finnhub.io/api/news?id=f6e559db81247dd6614e3af39f4509411934ae8ce42bbcc9944226b167a6af56
SQ,2024-12-19T16:46:00+00:00,Can SQ's Expanding Foodservice Footprint Push the Stock Higher?,Yahoo,https://finnhub.io/api/news?id=65f85876bec4abad12a2135e6f5a8f75e9f76e935bc98fabe932848eec243882
SQ,2024-12-19T14:05:14+00:00,"Oppenheimer sees 32% upside in Block shares, upgrades to Outperform",Yahoo,https://finnhub.io/api/news?id=2526d7cdc8c6bef4c5410eb8d6a06c42e05148b861859d7c0cee5dde67fc5515
SQ,2024-12-18T21:52:55+00:00,"Block, Inc. (SQ): Among World’s Largest Corporate Holders of Bitcoin",Yahoo,https://finnhub.io/api/news?id=6812dec13e94ee605a325296d1fb5a0e2261ef08b4dafcd8478c6864d65d6ed3
SQ,2024-12-18T13:23:25+00:00,Here’s why Block (SQ) is a new best stock idea at Bernstein,Yahoo,https://finnhub.io/api/news?id=d9b11cb1ace14a8ae0c8b65a41d82d499472b28a25b1a986a19e2f221a7f0a76
SQ,2024-12-18T12:00:00+00:00,"Square Teams up with Sysco, Delivers New Features to Save Restaurants Time and Smooth Cash Flow",Yahoo,https://finnhub.io/api/news?id=51e738fefaadffdebbe81bdc78913a964f157c7121ea1e6b6a6f0c34304fd22f
SQ,2024-12-18T11:21:14+00:00,Block price target raised to $112 from $100 at Barclays,Yahoo,https://finnhub.io/api/news?id=66966869efa030f8e1a00a22e6397e23e8ed8b4cfcd2daf4bb941f6e5557dc73
SQ,2024-12-17T10:59:07+00:00,Is Block Inc. (SQ) the Best Digital Currency and Payments Stock to Invest in?,Yahoo,https://finnhub.io/api/news?id=74333bb15fc58ccfd3bcfe526369e1356dd00ad8cffc819d863d4c773071ed9a
SQ,2024-12-17T08:13:17+00:00,Block : How Cash App Is Fighting Scams,Finnhub,https://finnhub.io/api/news?id=08b97b640f18008b314afdf51f93bb9f60bc672141e88c744839a4c12cc029d7
SQ,2024-12-14T11:25:00+00:00,3 Things You Need to Know If You Buy Block Stock Today,Yahoo,https://finnhub.io/api/news?id=a30f92498e9175f561c3f9eb5e94e2be2f642cc0db8e89500d0dd28efb0a6d02
SQ,2024-12-14T10:50:34+00:00,Block: The Bitcoin Inflection Is Looming,SeekingAlpha,https://finnhub.io/api/news?id=d0659db29438543010fd79e337770839c762704cbfd2c7664df648df5952b648
SQ,2024-12-11T07:57:59+00:00,An Asset Allocation For 2025 And Beyond,SeekingAlpha,https://finnhub.io/api/news?id=9a7caf7bb7db8c1a95ee229a2eba70d9adb3daf0aa11893967452b647658d90e
SQ,2024-12-11T05:20:00+00:00,Broad Market Gains Shape Moat Strategies For 2025,SeekingAlpha,https://finnhub.io/api/news?id=54e02a482a39c8bda0e32f7d645d201345a311cc6ec2bf1c8f89c42d9b636254
SQ,2024-12-10T18:17:04+00:00,How BNPL purchases might be causing 'harm' to consumers,Yahoo,https://finnhub.io/api/news?id=ebcb88f0a3a2e79e76c8b0c2ae70209b3a8dae664b0af2fdb0a21dc98e5169e3
SQ,2024-12-10T07:20:02+00:00,Fiserv: Added Risks Make It A Hold,SeekingAlpha,https://finnhub.io/api/news?id=5a604eea5a066ccede5a564fd003fb6aa48dfae2e8c8fe3a98cc174e4e77955c
SQ,2024-12-09T02:55:05+00:00,Block: I Am Upgrading My Outlook To Bullish,SeekingAlpha,https://finnhub.io/api/news?id=b5aea02165ef8dddc61a59ef49d74d4bb520312b03521d43c538d8376717ff74
